,value,data,startTime
0,89.0,2021-03-19,17:22:01
1,87.0,2021-03-19,17:22:05
2,86.0,2021-03-19,17:22:09
3,91.0,2021-03-19,17:22:14
4,165.0,2021-03-19,17:29:48
5,164.0,2021-03-19,17:29:53
6,163.0,2021-03-19,17:29:54
7,163.0,2021-03-19,17:30:01
8,161.0,2021-03-19,17:30:08
9,161.0,2021-03-19,17:30:10
10,160.0,2021-03-19,17:30:14
11,159.0,2021-03-19,17:30:19
12,158.0,2021-03-19,17:30:25
13,158.0,2021-03-19,17:30:30
14,158.0,2021-03-19,17:30:34
15,159.0,2021-03-19,17:30:40
16,158.0,2021-03-19,17:31:01
17,160.0,2021-03-19,17:31:08
18,159.0,2021-03-19,17:31:09
19,160.0,2021-03-19,17:31:15
20,161.0,2021-03-19,17:31:22
21,161.0,2021-03-19,17:31:27
22,161.0,2021-03-19,17:31:29
23,164.0,2021-03-19,17:32:03
24,164.0,2021-03-19,17:32:05
25,165.0,2021-03-19,17:32:13
26,165.0,2021-03-19,17:32:18
27,165.0,2021-03-19,17:32:20
28,165.0,2021-03-19,17:32:24
29,165.0,2021-03-19,17:32:33
30,164.0,2021-03-19,17:32:35
31,165.0,2021-03-19,17:32:39
32,152.0,2021-03-19,17:33:08
33,146.0,2021-03-19,17:33:10
34,148.0,2021-03-19,17:33:15
35,147.0,2021-03-19,17:33:23
36,147.0,2021-03-19,17:33:24
37,146.0,2021-03-19,17:33:31
38,145.0,2021-03-19,17:33:34
39,142.0,2021-03-19,17:33:39
40,143.0,2021-03-19,17:33:48
41,144.0,2021-03-19,17:33:51
42,145.0,2021-03-19,17:33:54
43,146.0,2021-03-19,17:34:00
44,147.0,2021-03-19,17:34:04
45,147.0,2021-03-19,17:34:10
46,148.0,2021-03-19,17:34:14
47,149.0,2021-03-19,17:34:19
48,152.0,2021-03-19,17:34:27
49,152.0,2021-03-19,17:34:29
50,151.0,2021-03-19,17:34:36
51,154.0,2021-03-19,17:34:41
52,153.0,2021-03-19,17:34:47
53,154.0,2021-03-19,17:34:53
54,152.0,2021-03-19,17:34:58
55,152.0,2021-03-19,17:34:59
56,153.0,2021-03-19,17:35:08
57,153.0,2021-03-19,17:35:12
58,153.0,2021-03-19,17:35:16
59,152.0,2021-03-19,17:35:22
60,152.0,2021-03-19,17:35:26
61,151.0,2021-03-19,17:35:29
62,151.0,2021-03-19,17:35:35
63,150.0,2021-03-19,17:35:41
64,150.0,2021-03-19,17:35:44
65,149.0,2021-03-19,17:35:53
66,150.0,2021-03-19,17:35:58
67,149.0,2021-03-19,17:35:59
68,151.0,2021-03-19,17:36:08
69,151.0,2021-03-19,17:36:10
70,150.0,2021-03-19,17:36:18
71,149.0,2021-03-19,17:36:23
72,150.0,2021-03-19,17:36:26
73,149.0,2021-03-19,17:36:30
74,149.0,2021-03-19,17:36:38
75,148.0,2021-03-19,17:36:39
76,148.0,2021-03-19,17:36:47
77,149.0,2021-03-19,17:36:53
78,149.0,2021-03-19,17:36:54
79,145.0,2021-03-19,17:37:01
80,147.0,2021-03-19,17:37:08
81,146.0,2021-03-19,17:37:13
82,147.0,2021-03-19,17:37:18
83,148.0,2021-03-19,17:37:22
84,150.0,2021-03-19,17:37:26
85,150.0,2021-03-19,17:37:32
86,151.0,2021-03-19,17:37:35
87,150.0,2021-03-19,17:37:41
88,150.0,2021-03-19,17:37:46
89,150.0,2021-03-19,17:37:52
90,150.0,2021-03-19,17:37:56
91,151.0,2021-03-19,17:38:02
92,151.0,2021-03-19,17:38:04
93,153.0,2021-03-19,17:38:09
94,156.0,2021-03-19,17:38:18
95,156.0,2021-03-19,17:38:19
96,156.0,2021-03-19,17:38:27
97,156.0,2021-03-19,17:38:30
98,158.0,2021-03-19,17:38:38
99,158.0,2021-03-19,17:38:42
100,159.0,2021-03-19,17:38:46
101,160.0,2021-03-19,17:38:50
102,162.0,2021-03-19,17:38:56
103,162.0,2021-03-19,17:39:01
104,162.0,2021-03-19,17:39:04
105,159.0,2021-03-19,17:39:10
106,158.0,2021-03-19,17:39:16
107,158.0,2021-03-19,17:39:23
108,158.0,2021-03-19,17:39:24
109,158.0,2021-03-19,17:39:31
110,158.0,2021-03-19,17:39:34
111,160.0,2021-03-19,17:39:43
112,162.0,2021-03-19,17:39:48
113,162.0,2021-03-19,17:39:53
114,162.0,2021-03-19,17:39:57
115,161.0,2021-03-19,17:39:59
116,158.0,2021-03-19,17:40:08
117,157.0,2021-03-19,17:40:12
118,156.0,2021-03-19,17:40:18
119,155.0,2021-03-19,17:40:23
120,155.0,2021-03-19,17:40:26
121,155.0,2021-03-19,17:40:30
122,152.0,2021-03-19,17:40:38
123,151.0,2021-03-19,17:40:43
124,149.0,2021-03-19,17:40:48
125,148.0,2021-03-19,17:40:52
126,147.0,2021-03-19,17:40:57
127,145.0,2021-03-19,17:41:03
128,148.0,2021-03-19,17:41:08
129,148.0,2021-03-19,17:41:09
130,147.0,2021-03-19,17:41:18
131,148.0,2021-03-19,17:41:21
