,value,data,startTime
0,81.0,2020-12-24,11:00:43
1,65.0,2020-12-24,11:01:23
2,65.0,2020-12-24,11:01:25
3,79.0,2020-12-24,11:01:33
4,77.0,2020-12-24,11:01:38
5,80.0,2020-12-24,11:01:43
6,79.0,2020-12-24,11:01:45
7,78.0,2020-12-24,11:01:53
8,97.0,2020-12-24,14:46:31
9,92.0,2020-12-24,14:46:36
10,95.0,2020-12-24,14:46:40
11,96.0,2020-12-24,14:46:44
12,96.0,2020-12-24,14:46:51
13,96.0,2020-12-24,14:46:52
14,96.0,2020-12-24,14:46:59
15,96.0,2020-12-24,14:47:02
16,99.0,2020-12-24,14:47:07
17,107.0,2020-12-24,14:47:12
18,131.0,2020-12-24,14:48:05
19,128.0,2020-12-24,14:48:10
20,128.0,2020-12-24,14:48:12
21,131.0,2020-12-24,14:48:17
22,134.0,2020-12-24,14:48:26
23,134.0,2020-12-24,14:48:27
24,135.0,2020-12-24,14:48:35
25,137.0,2020-12-24,14:48:39
26,137.0,2020-12-24,14:48:46
27,138.0,2020-12-24,14:48:51
28,138.0,2020-12-24,14:48:56
29,137.0,2020-12-24,14:49:01
30,137.0,2020-12-24,14:49:06
31,138.0,2020-12-24,14:49:10
32,138.0,2020-12-24,14:49:12
33,138.0,2020-12-24,14:49:19
34,139.0,2020-12-24,14:49:23
35,139.0,2020-12-24,14:49:27
36,138.0,2020-12-24,14:49:33
37,136.0,2020-12-24,14:49:41
38,136.0,2020-12-24,14:49:42
39,139.0,2020-12-24,14:49:49
40,139.0,2020-12-24,14:49:56
41,139.0,2020-12-24,14:50:00
42,140.0,2020-12-24,14:50:04
43,140.0,2020-12-24,14:50:10
44,141.0,2020-12-24,14:50:24
45,141.0,2020-12-24,14:50:32
46,143.0,2020-12-24,14:50:37
47,142.0,2020-12-24,14:50:39
48,144.0,2020-12-24,14:50:47
49,145.0,2020-12-24,14:50:50
50,146.0,2020-12-24,14:50:57
51,146.0,2020-12-24,14:50:59
52,146.0,2020-12-24,14:51:03
53,147.0,2020-12-24,14:51:08
54,148.0,2020-12-24,14:51:13
55,149.0,2020-12-24,14:51:18
56,150.0,2020-12-24,14:51:26
57,150.0,2020-12-24,14:51:28
58,149.0,2020-12-24,14:51:36
59,150.0,2020-12-24,14:51:41
60,150.0,2020-12-24,14:51:43
61,151.0,2020-12-24,14:51:52
62,151.0,2020-12-24,14:51:53
63,151.0,2020-12-24,14:51:59
64,150.0,2020-12-24,14:52:03
65,151.0,2020-12-24,14:52:12
66,150.0,2020-12-24,14:52:13
67,148.0,2020-12-24,14:52:21
68,149.0,2020-12-24,14:52:23
69,152.0,2020-12-24,14:52:32
70,149.0,2020-12-24,14:52:37
71,149.0,2020-12-24,14:52:38
72,148.0,2020-12-24,14:52:43
73,147.0,2020-12-24,14:52:48
74,148.0,2020-12-24,14:52:54
75,150.0,2020-12-24,14:52:58
76,151.0,2020-12-24,14:53:03
77,153.0,2020-12-24,14:53:12
78,152.0,2020-12-24,14:53:17
79,153.0,2020-12-24,14:53:18
80,152.0,2020-12-24,14:53:23
81,154.0,2020-12-24,14:53:32
82,154.0,2020-12-24,14:53:33
83,152.0,2020-12-24,14:53:42
84,149.0,2020-12-24,14:53:47
85,148.0,2020-12-24,14:53:51
86,148.0,2020-12-24,14:53:57
87,147.0,2020-12-24,14:54:02
88,145.0,2020-12-24,14:54:07
89,145.0,2020-12-24,14:54:11
90,145.0,2020-12-24,14:54:17
91,145.0,2020-12-24,14:54:18
92,144.0,2020-12-24,14:54:27
93,144.0,2020-12-24,14:54:30
94,144.0,2020-12-24,14:54:35
95,144.0,2020-12-24,14:54:38
96,143.0,2020-12-24,14:54:44
97,142.0,2020-12-24,14:54:52
98,141.0,2020-12-24,14:54:53
99,142.0,2020-12-24,14:54:58
100,141.0,2020-12-24,14:55:07
101,142.0,2020-12-24,14:55:08
102,142.0,2020-12-24,14:55:16
103,141.0,2020-12-24,14:55:20
104,141.0,2020-12-24,14:55:23
105,140.0,2020-12-24,14:55:31
106,140.0,2020-12-24,14:55:37
107,139.0,2020-12-24,14:55:38
108,140.0,2020-12-24,14:55:44
109,139.0,2020-12-24,14:55:48
110,141.0,2020-12-24,14:55:56
111,142.0,2020-12-24,14:56:02
112,142.0,2020-12-24,14:56:03
113,142.0,2020-12-24,14:56:10
114,142.0,2020-12-24,14:56:17
115,142.0,2020-12-24,14:56:19
116,141.0,2020-12-24,14:56:26
117,143.0,2020-12-24,14:56:32
118,143.0,2020-12-24,14:56:36
119,142.0,2020-12-24,14:56:42
120,142.0,2020-12-24,14:56:47
121,142.0,2020-12-24,14:56:48
122,142.0,2020-12-24,14:56:53
123,143.0,2020-12-24,14:56:58
124,141.0,2020-12-24,14:57:06
125,141.0,2020-12-24,14:57:08
126,141.0,2020-12-24,14:57:15
127,141.0,2020-12-24,14:57:21
128,141.0,2020-12-24,14:57:23
129,142.0,2020-12-24,14:57:29
130,144.0,2020-12-24,14:57:37
131,144.0,2020-12-24,14:57:42
132,145.0,2020-12-24,14:57:45
133,146.0,2020-12-24,14:57:48
134,146.0,2020-12-24,14:57:53
135,147.0,2020-12-24,14:58:01
136,147.0,2020-12-24,14:58:03
137,146.0,2020-12-24,14:58:11
138,146.0,2020-12-24,14:58:16
139,147.0,2020-12-24,14:58:21
140,148.0,2020-12-24,14:58:23
141,149.0,2020-12-24,14:58:29
142,148.0,2020-12-24,14:58:35
143,149.0,2020-12-24,14:58:38
144,149.0,2020-12-24,14:58:43
145,154.0,2020-12-24,14:58:51
146,154.0,2020-12-24,14:58:53
147,155.0,2020-12-24,14:59:00
148,157.0,2020-12-24,14:59:05
149,157.0,2020-12-24,14:59:12
150,156.0,2020-12-24,14:59:13
151,156.0,2020-12-24,14:59:20
152,158.0,2020-12-24,14:59:27
153,156.0,2020-12-24,14:59:31
154,158.0,2020-12-24,14:59:36
155,158.0,2020-12-24,14:59:38
156,156.0,2020-12-24,14:59:44
157,156.0,2020-12-24,14:59:50
158,157.0,2020-12-24,14:59:57
159,155.0,2020-12-24,15:00:01
160,155.0,2020-12-24,15:00:03
161,154.0,2020-12-24,15:00:12
162,154.0,2020-12-24,15:00:14
163,155.0,2020-12-24,15:00:18
164,155.0,2020-12-24,15:00:25
165,154.0,2020-12-24,15:00:28
166,151.0,2020-12-24,15:00:36
167,151.0,2020-12-24,15:00:41
168,148.0,2020-12-24,15:00:46
169,147.0,2020-12-24,15:00:50
170,146.0,2020-12-24,15:00:54
171,145.0,2020-12-24,15:01:00
172,143.0,2020-12-24,15:01:07
173,144.0,2020-12-24,15:01:09
174,143.0,2020-12-24,15:01:14
175,142.0,2020-12-24,15:01:20
176,143.0,2020-12-24,15:01:24
177,144.0,2020-12-24,15:01:29
178,146.0,2020-12-24,15:01:37
179,146.0,2020-12-24,15:01:38
180,146.0,2020-12-24,15:01:44
181,145.0,2020-12-24,15:01:52
182,146.0,2020-12-24,15:01:55
183,147.0,2020-12-24,15:02:02
184,147.0,2020-12-24,15:02:03
185,148.0,2020-12-24,15:02:08
186,149.0,2020-12-24,15:02:17
187,150.0,2020-12-24,15:02:18
