,value,data,startTime
0,62.0,2021-03-07,18:42:13
1,62.0,2021-03-07,18:42:18
2,62.0,2021-03-07,18:42:23
3,62.0,2021-03-07,18:42:26
4,62.0,2021-03-07,18:42:30
5,62.0,2021-03-07,18:42:38
6,63.0,2021-03-07,18:42:40
7,63.0,2021-03-07,18:42:46
8,63.0,2021-03-07,18:42:53
9,63.0,2021-03-07,18:42:57
10,62.0,2021-03-07,18:43:02
11,61.0,2021-03-07,18:43:08
12,61.0,2021-03-07,18:43:11
13,61.0,2021-03-07,18:43:18
14,61.0,2021-03-07,18:43:19
15,61.0,2021-03-07,18:43:25
16,60.0,2021-03-07,18:43:33
17,60.0,2021-03-07,18:43:36
18,60.0,2021-03-07,18:43:39
19,60.0,2021-03-07,18:43:46
20,60.0,2021-03-07,18:43:52
21,60.0,2021-03-07,18:43:54
22,61.0,2021-03-07,18:44:01
23,60.0,2021-03-07,18:44:07
24,60.0,2021-03-07,18:44:09
25,67.0,2021-03-07,18:44:14
26,84.0,2021-03-07,18:44:23
27,82.0,2021-03-07,18:44:28
28,80.0,2021-03-07,18:44:29
29,77.0,2021-03-07,18:44:34
30,78.0,2021-03-07,18:44:39
31,81.0,2021-03-07,18:44:47
32,82.0,2021-03-07,18:44:52
33,82.0,2021-03-07,18:44:55
34,84.0,2021-03-07,18:45:02
35,82.0,2021-03-07,18:45:08
36,82.0,2021-03-07,18:45:12
37,81.0,2021-03-07,18:45:14
38,79.0,2021-03-07,18:45:19
39,76.0,2021-03-07,18:45:28
40,76.0,2021-03-07,18:45:29
41,78.0,2021-03-07,18:45:38
42,78.0,2021-03-07,18:45:40
43,79.0,2021-03-07,18:45:44
44,78.0,2021-03-07,18:45:53
45,78.0,2021-03-07,18:45:54
46,77.0,2021-03-07,18:45:59
47,78.0,2021-03-07,18:46:08
48,80.0,2021-03-07,18:46:13
49,81.0,2021-03-07,18:46:14
50,80.0,2021-03-07,18:46:19
51,79.0,2021-03-07,18:46:24
52,80.0,2021-03-07,18:46:33
53,82.0,2021-03-07,18:46:36
54,83.0,2021-03-07,18:46:39
55,81.0,2021-03-07,18:46:48
56,80.0,2021-03-07,18:46:52
57,78.0,2021-03-07,18:46:57
58,77.0,2021-03-07,18:46:59
59,76.0,2021-03-07,18:47:08
60,74.0,2021-03-07,18:47:13
61,74.0,2021-03-07,18:47:15
62,74.0,2021-03-07,18:47:19
63,75.0,2021-03-07,18:47:28
64,74.0,2021-03-07,18:47:33
65,74.0,2021-03-07,18:47:34
66,76.0,2021-03-07,18:47:39
67,76.0,2021-03-07,18:47:44
68,78.0,2021-03-07,18:47:53
69,80.0,2021-03-07,18:47:56
70,80.0,2021-03-07,18:47:59
71,76.0,2021-03-07,18:48:08
72,76.0,2021-03-07,18:48:09
73,78.0,2021-03-07,18:48:18
74,80.0,2021-03-07,18:48:23
75,79.0,2021-03-07,18:48:26
76,79.0,2021-03-07,18:48:29
77,79.0,2021-03-07,18:48:35
78,78.0,2021-03-07,18:48:39
79,76.0,2021-03-07,18:48:48
80,73.0,2021-03-07,18:48:53
81,72.0,2021-03-07,18:48:57
82,72.0,2021-03-07,18:48:59
83,73.0,2021-03-07,18:49:04
84,77.0,2021-03-07,18:49:13
85,77.0,2021-03-07,18:49:17
86,76.0,2021-03-07,18:49:19
87,76.0,2021-03-07,18:49:24
88,78.0,2021-03-07,18:49:32
89,78.0,2021-03-07,18:49:38
90,78.0,2021-03-07,18:49:41
91,80.0,2021-03-07,18:49:44
92,87.0,2021-03-07,18:49:53
93,87.0,2021-03-07,18:49:57
94,89.0,2021-03-07,18:50:02
95,91.0,2021-03-07,18:50:08
96,92.0,2021-03-07,18:50:09
97,91.0,2021-03-07,18:50:17
98,92.0,2021-03-07,18:50:22
99,91.0,2021-03-07,18:50:28
100,90.0,2021-03-07,18:50:30
101,91.0,2021-03-07,18:50:36
102,91.0,2021-03-07,18:50:40
103,88.0,2021-03-07,18:50:48
104,86.0,2021-03-07,18:50:52
105,83.0,2021-03-07,18:50:57
106,82.0,2021-03-07,18:50:59
107,81.0,2021-03-07,18:51:04
108,81.0,2021-03-07,18:51:11
109,81.0,2021-03-07,18:51:14
110,80.0,2021-03-07,18:51:22
111,80.0,2021-03-07,18:51:25
112,81.0,2021-03-07,18:51:29
113,82.0,2021-03-07,18:51:34
114,85.0,2021-03-07,18:51:42
115,83.0,2021-03-07,18:51:47
116,82.0,2021-03-07,18:51:51
117,81.0,2021-03-07,18:51:54
118,82.0,2021-03-07,18:52:01
119,80.0,2021-03-07,18:52:05
