,value,data,startTime
167,163.0,2021-04-15,15:35:59
168,163.0,2021-04-15,15:36:06
169,163.0,2021-04-15,15:36:10
170,162.0,2021-04-15,15:36:18
171,162.0,2021-04-15,15:36:19
172,161.0,2021-04-15,15:36:26
173,159.0,2021-04-15,15:36:33
174,158.0,2021-04-15,15:36:38
175,158.0,2021-04-15,15:36:42
176,157.0,2021-04-15,15:36:47
177,157.0,2021-04-15,15:36:51
178,158.0,2021-04-15,15:36:54
179,159.0,2021-04-15,15:37:02
180,159.0,2021-04-15,15:37:04
181,158.0,2021-04-15,15:37:23
182,157.0,2021-04-15,15:37:27
183,156.0,2021-04-15,15:37:29
184,155.0,2021-04-15,15:37:38
185,157.0,2021-04-15,15:37:42
186,157.0,2021-04-15,15:37:47
187,156.0,2021-04-15,15:37:49
188,159.0,2021-04-15,15:37:57
189,159.0,2021-04-15,15:38:01
190,159.0,2021-04-15,15:38:04
191,161.0,2021-04-15,15:38:13
192,161.0,2021-04-15,15:38:14
193,161.0,2021-04-15,15:38:19
194,163.0,2021-04-15,15:38:24
195,164.0,2021-04-15,15:38:40
196,163.0,2021-04-15,15:38:44
197,161.0,2021-04-15,15:38:52
198,161.0,2021-04-15,15:38:54
199,162.0,2021-04-15,15:39:01
200,163.0,2021-04-15,15:39:08
201,162.0,2021-04-15,15:39:13
202,161.0,2021-04-15,15:39:17
203,161.0,2021-04-15,15:39:21
204,162.0,2021-04-15,15:39:24
205,162.0,2021-04-15,15:39:33
206,163.0,2021-04-15,15:39:38
207,163.0,2021-04-15,15:39:43
208,163.0,2021-04-15,15:39:48
209,163.0,2021-04-15,15:39:51
210,164.0,2021-04-15,15:39:57
211,164.0,2021-04-15,15:39:59
212,165.0,2021-04-15,15:40:08
213,166.0,2021-04-15,15:40:13
214,166.0,2021-04-15,15:40:15
215,166.0,2021-04-15,15:40:20
216,167.0,2021-04-15,15:40:27
217,168.0,2021-04-15,15:40:31
218,167.0,2021-04-15,15:40:38
219,166.0,2021-04-15,15:40:39
220,164.0,2021-04-15,15:40:47
221,165.0,2021-04-15,15:40:51
222,164.0,2021-04-15,15:40:54
223,164.0,2021-04-15,15:41:00
224,162.0,2021-04-15,15:41:04
225,161.0,2021-04-15,15:41:09
226,162.0,2021-04-15,15:41:17
227,163.0,2021-04-15,15:41:21
228,164.0,2021-04-15,15:41:25
229,164.0,2021-04-15,15:41:30
230,164.0,2021-04-15,15:41:38
231,164.0,2021-04-15,15:41:42
232,164.0,2021-04-15,15:41:45
233,165.0,2021-04-15,15:41:53
234,164.0,2021-04-15,15:41:54
235,165.0,2021-04-15,15:42:03
236,164.0,2021-04-15,15:42:06
237,164.0,2021-04-15,15:42:11
238,165.0,2021-04-15,15:42:16
239,163.0,2021-04-15,15:42:20
240,162.0,2021-04-15,15:42:24
241,163.0,2021-04-15,15:42:33
242,165.0,2021-04-15,15:42:36
243,166.0,2021-04-15,15:42:42
244,166.0,2021-04-15,15:42:47
245,166.0,2021-04-15,15:42:52
246,165.0,2021-04-15,15:42:58
247,165.0,2021-04-15,15:42:59
248,164.0,2021-04-15,15:43:07
249,165.0,2021-04-15,15:43:09
250,165.0,2021-04-15,15:43:15
251,166.0,2021-04-15,15:43:23
252,167.0,2021-04-15,15:43:28
253,167.0,2021-04-15,15:43:31
254,168.0,2021-04-15,15:43:35
255,168.0,2021-04-15,15:43:42
256,167.0,2021-04-15,15:43:48
257,168.0,2021-04-15,15:43:50
258,167.0,2021-04-15,15:43:58
259,167.0,2021-04-15,15:44:02
260,167.0,2021-04-15,15:44:05
261,167.0,2021-04-15,15:44:12
262,167.0,2021-04-15,15:44:14
263,167.0,2021-04-15,15:44:20
264,167.0,2021-04-15,15:44:28
265,168.0,2021-04-15,15:44:29
266,167.0,2021-04-15,15:44:37
267,167.0,2021-04-15,15:44:41
268,167.0,2021-04-15,15:44:44
269,167.0,2021-04-15,15:44:52
270,167.0,2021-04-15,15:44:55
271,167.0,2021-04-15,15:45:00
272,166.0,2021-04-15,15:45:05
273,165.0,2021-04-15,15:45:11
274,164.0,2021-04-15,15:45:14
275,166.0,2021-04-15,15:45:23
276,167.0,2021-04-15,15:45:26
277,167.0,2021-04-15,15:45:29
278,167.0,2021-04-15,15:45:38
279,168.0,2021-04-15,15:45:42
280,168.0,2021-04-15,15:45:45
281,169.0,2021-04-15,15:45:51
282,169.0,2021-04-15,15:45:54
283,171.0,2021-04-15,15:46:03
284,170.0,2021-04-15,15:46:07
285,170.0,2021-04-15,15:46:10
286,171.0,2021-04-15,15:46:17
287,171.0,2021-04-15,15:46:19
288,171.0,2021-04-15,15:46:27
289,171.0,2021-04-15,15:46:29
290,173.0,2021-04-15,15:46:35
291,173.0,2021-04-15,15:46:41
292,173.0,2021-04-15,15:46:46
293,173.0,2021-04-15,15:46:53
294,174.0,2021-04-15,15:46:55
295,175.0,2021-04-15,15:46:59
296,175.0,2021-04-15,15:47:04
297,175.0,2021-04-15,15:47:11
298,174.0,2021-04-15,15:47:17
299,173.0,2021-04-15,15:47:20
300,172.0,2021-04-15,15:47:26
301,173.0,2021-04-15,15:47:30
302,172.0,2021-04-15,15:47:38
303,172.0,2021-04-15,15:47:41
304,171.0,2021-04-15,15:47:44
305,171.0,2021-04-15,15:47:53
306,171.0,2021-04-15,15:47:57
307,170.0,2021-04-15,15:48:00
308,170.0,2021-04-15,15:48:07
309,170.0,2021-04-15,15:48:12
310,169.0,2021-04-15,15:48:17
311,169.0,2021-04-15,15:48:19
312,169.0,2021-04-15,15:48:28
313,171.0,2021-04-15,15:48:32
314,171.0,2021-04-15,15:48:38
315,171.0,2021-04-15,15:48:39
316,172.0,2021-04-15,15:48:47
317,172.0,2021-04-15,15:48:51
318,174.0,2021-04-15,15:48:55
319,175.0,2021-04-15,15:49:00
320,174.0,2021-04-15,15:49:06
321,174.0,2021-04-15,15:49:09
322,175.0,2021-04-15,15:49:17
323,174.0,2021-04-15,15:49:23
324,175.0,2021-04-15,15:49:28
325,173.0,2021-04-15,15:49:31
326,175.0,2021-04-15,15:49:38
327,175.0,2021-04-15,15:49:43
328,175.0,2021-04-15,15:49:44
329,175.0,2021-04-15,15:49:53
330,174.0,2021-04-15,15:49:58
331,174.0,2021-04-15,15:50:01
332,174.0,2021-04-15,15:50:08
333,174.0,2021-04-15,15:50:12
