,value,data,startTime
0,127.0,2021-05-19,18:35:32
1,125.0,2021-05-19,18:35:36
2,128.0,2021-05-19,18:35:43
3,128.0,2021-05-19,18:35:44
4,129.0,2021-05-19,18:35:53
5,131.0,2021-05-19,18:35:54
6,133.0,2021-05-19,18:36:03
7,135.0,2021-05-19,18:36:06
8,134.0,2021-05-19,18:36:11
9,135.0,2021-05-19,18:36:15
10,135.0,2021-05-19,18:36:23
11,136.0,2021-05-19,18:36:27
12,137.0,2021-05-19,18:36:32
13,137.0,2021-05-19,18:36:34
14,138.0,2021-05-19,18:36:39
15,140.0,2021-05-19,18:36:48
16,140.0,2021-05-19,18:36:52
17,140.0,2021-05-19,18:36:54
18,142.0,2021-05-19,18:37:03
19,141.0,2021-05-19,18:37:07
20,141.0,2021-05-19,18:37:10
21,141.0,2021-05-19,18:37:18
22,141.0,2021-05-19,18:37:23
23,141.0,2021-05-19,18:37:24
24,141.0,2021-05-19,18:37:29
25,142.0,2021-05-19,18:37:37
26,142.0,2021-05-19,18:37:43
27,141.0,2021-05-19,18:37:48
28,142.0,2021-05-19,18:37:51
29,141.0,2021-05-19,18:37:58
30,141.0,2021-05-19,18:38:01
31,141.0,2021-05-19,18:38:04
32,143.0,2021-05-19,18:38:10
33,144.0,2021-05-19,18:38:18
34,145.0,2021-05-19,18:38:23
35,145.0,2021-05-19,18:38:28
36,145.0,2021-05-19,18:38:29
37,151.0,2021-05-19,18:38:37
38,151.0,2021-05-19,18:38:40
39,153.0,2021-05-19,18:38:45
40,153.0,2021-05-19,18:38:50
41,153.0,2021-05-19,18:38:58
42,153.0,2021-05-19,18:38:59
43,154.0,2021-05-19,18:39:08
44,154.0,2021-05-19,18:39:09
45,156.0,2021-05-19,18:39:17
46,157.0,2021-05-19,18:39:22
47,158.0,2021-05-19,18:39:27
48,158.0,2021-05-19,18:39:29
49,156.0,2021-05-19,18:39:34
50,157.0,2021-05-19,18:39:40
51,158.0,2021-05-19,18:39:46
52,157.0,2021-05-19,18:39:53
53,157.0,2021-05-19,18:39:56
54,154.0,2021-05-19,18:40:03
55,154.0,2021-05-19,18:40:05
56,153.0,2021-05-19,18:40:09
57,151.0,2021-05-19,18:40:18
58,152.0,2021-05-19,18:40:23
59,152.0,2021-05-19,18:40:24
60,150.0,2021-05-19,18:40:30
61,148.0,2021-05-19,18:40:36
62,148.0,2021-05-19,18:40:40
63,148.0,2021-05-19,18:40:44
64,149.0,2021-05-19,18:40:50
65,146.0,2021-05-19,18:40:58
66,146.0,2021-05-19,18:41:02
67,149.0,2021-05-19,18:41:07
68,150.0,2021-05-19,18:41:11
69,151.0,2021-05-19,18:41:16
70,150.0,2021-05-19,18:41:21
71,151.0,2021-05-19,18:41:27
72,151.0,2021-05-19,18:41:32
73,152.0,2021-05-19,18:41:35
74,152.0,2021-05-19,18:41:40
75,152.0,2021-05-19,18:41:47
76,153.0,2021-05-19,18:41:53
77,153.0,2021-05-19,18:41:54
78,153.0,2021-05-19,18:42:00
79,152.0,2021-05-19,18:42:08
80,155.0,2021-05-19,18:42:13
81,157.0,2021-05-19,18:42:17
82,157.0,2021-05-19,18:42:19
83,156.0,2021-05-19,18:42:25
84,157.0,2021-05-19,18:42:30
85,157.0,2021-05-19,18:42:37
86,157.0,2021-05-19,18:42:41
87,157.0,2021-05-19,18:42:46
88,158.0,2021-05-19,18:42:50
89,159.0,2021-05-19,18:42:58
90,159.0,2021-05-19,18:42:59
91,159.0,2021-05-19,18:43:04
92,159.0,2021-05-19,18:43:09
93,157.0,2021-05-19,18:43:17
94,158.0,2021-05-19,18:43:23
95,158.0,2021-05-19,18:43:25
96,159.0,2021-05-19,18:43:32
97,159.0,2021-05-19,18:43:38
98,159.0,2021-05-19,18:43:43
99,159.0,2021-05-19,18:43:45
100,159.0,2021-05-19,18:43:51
101,157.0,2021-05-19,18:43:54
102,158.0,2021-05-19,18:43:59
103,160.0,2021-05-19,18:44:08
104,160.0,2021-05-19,18:44:12
105,159.0,2021-05-19,18:44:14
106,159.0,2021-05-19,18:44:19
107,158.0,2021-05-19,18:44:24
108,161.0,2021-05-19,18:44:29
109,160.0,2021-05-19,18:44:34
110,161.0,2021-05-19,18:44:41
111,161.0,2021-05-19,18:44:45
112,163.0,2021-05-19,18:44:53
113,162.0,2021-05-19,18:44:55
114,161.0,2021-05-19,18:45:00
